
Active Connections

  Proto  Local Address          Foreign Address        State           PID
  TCP    0.0.0.0:135            0.0.0.0:0              LISTENING       1548
  TCP    0.0.0.0:445            0.0.0.0:0              LISTENING       4
  TCP    0.0.0.0:902            0.0.0.0:0              LISTENING       13016
  TCP    0.0.0.0:912            0.0.0.0:0              LISTENING       13016
  TCP    0.0.0.0:2869           0.0.0.0:0              LISTENING       4
  TCP    0.0.0.0:3000           0.0.0.0:0              LISTENING       21896
  TCP    0.0.0.0:5040           0.0.0.0:0              LISTENING       6528
  TCP    0.0.0.0:7680           0.0.0.0:0              LISTENING       10196
  TCP    0.0.0.0:49664          0.0.0.0:0              LISTENING       1232
  TCP    0.0.0.0:49665          0.0.0.0:0              LISTENING       1064
  TCP    0.0.0.0:49666          0.0.0.0:0              LISTENING       2288
  TCP    0.0.0.0:49667          0.0.0.0:0              LISTENING       3640
  TCP    0.0.0.0:49668          0.0.0.0:0              LISTENING       10984
  TCP    0.0.0.0:49670          0.0.0.0:0              LISTENING       12276
  TCP    0.0.0.0:49673          0.0.0.0:0              LISTENING       1180
  TCP    127.0.0.1:1434         0.0.0.0:0              LISTENING       1876
  TCP    127.0.0.1:2869         127.0.0.1:49688        TIME_WAIT       0
  TCP    127.0.0.1:2869         127.0.0.1:49694        TIME_WAIT       0
  TCP    127.0.0.1:2869         127.0.0.1:50705        TIME_WAIT       0
  TCP    127.0.0.1:2869         127.0.0.1:50716        TIME_WAIT       0
  TCP    127.0.0.1:2869         127.0.0.1:51544        TIME_WAIT       0
  TCP    127.0.0.1:2869         127.0.0.1:52044        TIME_WAIT       0
  TCP    127.0.0.1:2869         127.0.0.1:53658        TIME_WAIT       0
  TCP    127.0.0.1:2869         127.0.0.1:53664        TIME_WAIT       0
  TCP    127.0.0.1:2869         127.0.0.1:53677        TIME_WAIT       0
  TCP    127.0.0.1:2869         127.0.0.1:57781        TIME_WAIT       0
  TCP    127.0.0.1:2869         127.0.0.1:59431        TIME_WAIT       0
  TCP    127.0.0.1:2869         127.0.0.1:61537        TIME_WAIT       0
  TCP    127.0.0.1:5354         0.0.0.0:0              LISTENING       12224
  TCP    127.0.0.1:9000         0.0.0.0:0              LISTENING       4868
  TCP    127.0.0.1:19010        0.0.0.0:0              LISTENING       8876
  TCP    127.0.0.1:45375        0.0.0.0:0              LISTENING       12840
  TCP    127.0.0.1:48080        0.0.0.0:0              LISTENING       12276
  TCP    127.0.0.1:49329        0.0.0.0:0              LISTENING       22000
  TCP    127.0.0.1:49329        127.0.0.1:55272        ESTABLISHED     22000
  TCP    127.0.0.1:49329        127.0.0.1:63046        ESTABLISHED     22000
  TCP    127.0.0.1:49330        0.0.0.0:0              LISTENING       7812
  TCP    127.0.0.1:49330        127.0.0.1:52327        ESTABLISHED     7812
  TCP    127.0.0.1:49330        127.0.0.1:55305        ESTABLISHED     7812
  TCP    127.0.0.1:49331        0.0.0.0:0              LISTENING       22000
  TCP    127.0.0.1:49332        0.0.0.0:0              LISTENING       7812
  TCP    127.0.0.1:49343        127.0.0.1:55477        ESTABLISHED     22000
  TCP    127.0.0.1:49344        127.0.0.1:55476        ESTABLISHED     7812
  TCP    127.0.0.1:49345        0.0.0.0:0              LISTENING       7812
  TCP    127.0.0.1:49345        127.0.0.1:55271        ESTABLISHED     7812
  TCP    127.0.0.1:49346        0.0.0.0:0              LISTENING       22000
  TCP    127.0.0.1:49346        127.0.0.1:55270        ESTABLISHED     22000
  TCP    127.0.0.1:49347        127.0.0.1:55477        ESTABLISHED     22000
  TCP    127.0.0.1:49349        127.0.0.1:55476        ESTABLISHED     7812
  TCP    127.0.0.1:51619        127.0.0.1:51620        ESTABLISHED     19556
  TCP    127.0.0.1:51620        127.0.0.1:51619        ESTABLISHED     19556
  TCP    127.0.0.1:52327        127.0.0.1:49330        ESTABLISHED     18448
  TCP    127.0.0.1:52428        127.0.0.1:52429        ESTABLISHED     19556
  TCP    127.0.0.1:52429        127.0.0.1:52428        ESTABLISHED     19556
  TCP    127.0.0.1:53070        127.0.0.1:53071        ESTABLISHED     19556
  TCP    127.0.0.1:53071        127.0.0.1:53070        ESTABLISHED     19556
  TCP    127.0.0.1:53087        0.0.0.0:0              LISTENING       23228
  TCP    127.0.0.1:53088        0.0.0.0:0              LISTENING       18448
